"sk_dosen","nidn","nama_dosen","jabatan_fungsional","status_kepegawaian","sk_prodi","created_date","updated_date"
1,N100000,Dosen 1,Guru Besar,Kontrak,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
2,N100001,Dosen 2,Asisten Ahli,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
3,N100002,Dosen 3,Lektor Kepala,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
4,N100003,Dosen 4,Lektor Kepala,Kontrak,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
5,N100004,Dosen 5,Guru Besar,Tetap,16,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
6,N100005,Dosen 6,Asisten Ahli,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
7,N100006,Dosen 7,Asisten Ahli,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
8,N100007,Dosen 8,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
9,N100008,Dosen 9,Lektor,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
10,N100009,Dosen 10,Lektor Kepala,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
11,N100010,Dosen 11,Lektor Kepala,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
12,N100011,Dosen 12,Lektor Kepala,Kontrak,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
13,N100012,Dosen 13,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
14,N100013,Dosen 14,Guru Besar,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
15,N100014,Dosen 15,Asisten Ahli,Kontrak,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
16,N100015,Dosen 16,Guru Besar,Kontrak,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
17,N100016,Dosen 17,Guru Besar,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
18,N100017,Dosen 18,Guru Besar,Kontrak,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
19,N100018,Dosen 19,Lektor Kepala,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
20,N100019,Dosen 20,Lektor,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
21,N100020,Dosen 21,Asisten Ahli,Kontrak,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
22,N100021,Dosen 22,Lektor,Kontrak,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
23,N100022,Dosen 23,Guru Besar,Kontrak,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
24,N100023,Dosen 24,Guru Besar,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
25,N100024,Dosen 25,Lektor,Kontrak,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
26,N100025,Dosen 26,Lektor,Kontrak,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
27,N100026,Dosen 27,Lektor,Kontrak,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
28,N100027,Dosen 28,Guru Besar,Kontrak,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
29,N100028,Dosen 29,Guru Besar,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
30,N100029,Dosen 30,Asisten Ahli,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
31,N100030,Dosen 31,Asisten Ahli,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
32,N100031,Dosen 32,Guru Besar,Kontrak,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
33,N100032,Dosen 33,Lektor,Kontrak,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
34,N100033,Dosen 34,Lektor,Tetap,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
35,N100034,Dosen 35,Asisten Ahli,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
36,N100035,Dosen 36,Guru Besar,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
37,N100036,Dosen 37,Asisten Ahli,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
38,N100037,Dosen 38,Asisten Ahli,Kontrak,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
39,N100038,Dosen 39,Lektor Kepala,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
40,N100039,Dosen 40,Lektor Kepala,Tetap,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
41,N100040,Dosen 41,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
42,N100041,Dosen 42,Lektor,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
43,N100042,Dosen 43,Guru Besar,Tetap,16,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
44,N100043,Dosen 44,Guru Besar,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
45,N100044,Dosen 45,Guru Besar,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
46,N100045,Dosen 46,Guru Besar,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
47,N100046,Dosen 47,Lektor Kepala,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
48,N100047,Dosen 48,Lektor,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
49,N100048,Dosen 49,Lektor,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
50,N100049,Dosen 50,Lektor Kepala,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
51,N100050,Dosen 51,Lektor,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
52,N100051,Dosen 52,Lektor Kepala,Kontrak,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
53,N100052,Dosen 53,Guru Besar,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
54,N100053,Dosen 54,Lektor Kepala,Kontrak,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
55,N100054,Dosen 55,Guru Besar,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
56,N100055,Dosen 56,Guru Besar,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
57,N100056,Dosen 57,Asisten Ahli,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
58,N100057,Dosen 58,Lektor Kepala,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
59,N100058,Dosen 59,Asisten Ahli,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
60,N100059,Dosen 60,Lektor Kepala,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
61,N100060,Dosen 61,Lektor Kepala,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
62,N100061,Dosen 62,Asisten Ahli,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
63,N100062,Dosen 63,Asisten Ahli,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
64,N100063,Dosen 64,Lektor Kepala,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
65,N100064,Dosen 65,Lektor,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
66,N100065,Dosen 66,Guru Besar,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
67,N100066,Dosen 67,Asisten Ahli,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
68,N100067,Dosen 68,Guru Besar,Kontrak,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
69,N100068,Dosen 69,Lektor,Kontrak,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
70,N100069,Dosen 70,Lektor,Kontrak,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
71,N100070,Dosen 71,Lektor,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
72,N100071,Dosen 72,Asisten Ahli,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
73,N100072,Dosen 73,Lektor,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
74,N100073,Dosen 74,Asisten Ahli,Kontrak,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
75,N100074,Dosen 75,Lektor,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
76,N100075,Dosen 76,Guru Besar,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
77,N100076,Dosen 77,Guru Besar,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
78,N100077,Dosen 78,Lektor Kepala,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
79,N100078,Dosen 79,Guru Besar,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
