"sk_mahasiswa","nim","nama_mahasiswa","jenis_kelamin","angkatan","status","sk_prodi","created_date","updated_date","is_current","valid_from","valid_to"
1,20000001,Mahasiswa 1,P,2020,Aktif,10,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
2,20000002,Mahasiswa 2,P,2020,Aktif,5,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
3,20000003,Mahasiswa 3,L,2020,Aktif,7,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
4,20000004,Mahasiswa 4,L,2020,Aktif,5,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
5,20000005,Mahasiswa 5,P,2020,Cuti,15,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
6,20000006,Mahasiswa 6,P,2020,Aktif,19,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
7,20000007,Mahasiswa 7,L,2020,Aktif,10,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
8,20000008,Mahasiswa 8,P,2020,Aktif,8,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
9,20000009,Mahasiswa 9,P,2020,Aktif,9,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
10,20000010,Mahasiswa 10,L,2020,Aktif,11,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
11,20000011,Mahasiswa 11,P,2020,Aktif,2,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
12,20000012,Mahasiswa 12,P,2020,Aktif,3,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
13,20000013,Mahasiswa 13,P,2020,Aktif,13,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
14,20000014,Mahasiswa 14,L,2020,Aktif,11,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
15,20000015,Mahasiswa 15,L,2020,Aktif,10,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
16,20000016,Mahasiswa 16,L,2020,Cuti,15,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
17,20000017,Mahasiswa 17,P,2020,Aktif,6,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
18,20000018,Mahasiswa 18,P,2020,Aktif,1,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
19,20000019,Mahasiswa 19,L,2020,Aktif,14,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
20,20000020,Mahasiswa 20,P,2020,Aktif,18,2025-12-06 21:36:41.540,2025-12-06 21:36:41.540,1,2025-12-06 21:36:41.540,
