"source_file","nidn","nama_dosen","kode_prodi","tahun","jumlah_mahasiswa","jumlah_dosen","rasio_dosen_mahasiswa","extract_ts","row_hash"
dummy_dosen.csv,N100268,Dosen 269,P13,2024,1206,5,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100221,Dosen 222,P09,2021,1145,5,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100287,Dosen 288,P07,2023,1762,12,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100011,Dosen 12,P15,2020,696,5,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100186,Dosen 187,P09,2023,1563,5,0.003,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100168,Dosen 169,P18,2021,1132,6,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100292,Dosen 293,P01,2021,1970,13,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100323,Dosen 324,P02,2024,1232,6,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100105,Dosen 106,P19,2022,1120,6,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100175,Dosen 176,P06,2021,1495,12,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100348,Dosen 349,P21,2021,1883,14,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100040,Dosen 41,P10,2022,762,5,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100311,Dosen 312,P02,2022,1760,12,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100324,Dosen 325,P04,2024,886,5,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100248,Dosen 249,P12,2024,1844,9,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100266,Dosen 267,P02,2023,1437,7,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100221,Dosen 222,P14,2021,1413,10,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100112,Dosen 113,P11,2021,827,6,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100283,Dosen 284,P07,2022,1363,13,0.01,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100277,Dosen 278,P07,2020,1304,8,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100202,Dosen 203,P20,2021,926,10,0.011,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100340,Dosen 341,P03,2021,1472,10,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100261,Dosen 262,P02,2021,1743,14,0.008,2025-12-06 21:36:41.573,
