"source_file","nim","nama_mahasiswa","jenis_kelamin","angkatan","status","kode_prodi","extract_ts","row_hash"
dummy_mhs.csv,21000689,Mahasiswa 2791,L,2021,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000083,Mahasiswa 4287,P,2022,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001401,Mahasiswa 5605,P,2022,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000382,Mahasiswa 382,L,2020,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001921,Mahasiswa 4023,P,2021,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000794,Mahasiswa 9202,P,2024,Lulus,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000282,Mahasiswa 6588,P,2023,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001875,Mahasiswa 8181,P,2023,Cuti,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001074,Mahasiswa 1074,P,2020,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001803,Mahasiswa 3905,P,2021,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000111,Mahasiswa 2213,P,2021,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000690,Mahasiswa 6996,L,2023,Aktif,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001793,Mahasiswa 8099,L,2023,Cuti,P13,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001971,Mahasiswa 8277,L,2023,Aktif,P16,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000813,Mahasiswa 5017,L,2022,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001420,Mahasiswa 5624,L,2022,Aktif,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000498,Mahasiswa 498,L,2020,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001438,Mahasiswa 3540,L,2021,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000665,Mahasiswa 6971,L,2023,Cuti,P20,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001179,Mahasiswa 5383,P,2022,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000681,Mahasiswa 4885,L,2022,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001745,Mahasiswa 3847,L,2021,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001680,Mahasiswa 10088,L,2024,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000738,Mahasiswa 4942,L,2022,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001041,Mahasiswa 7347,P,2023,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001264,Mahasiswa 5468,P,2022,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001594,Mahasiswa 1594,P,2020,Cuti,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,22002064,Mahasiswa 6268,P,2022,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001634,Mahasiswa 7940,L,2023,Aktif,P13,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001912,Mahasiswa 10320,P,2024,Cuti,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001858,Mahasiswa 8164,P,2023,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001399,Mahasiswa 7705,L,2023,Aktif,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001152,Mahasiswa 1152,L,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000296,Mahasiswa 296,L,2020,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000163,Mahasiswa 163,P,2020,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001969,Mahasiswa 8275,P,2023,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000129,Mahasiswa 4333,L,2022,Aktif,P13,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000527,Mahasiswa 527,L,2020,Aktif,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000154,Mahasiswa 4358,L,2022,Aktif,P20,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000255,Mahasiswa 4459,L,2022,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001286,Mahasiswa 3388,P,2021,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000169,Mahasiswa 8577,L,2024,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000581,Mahasiswa 4785,L,2022,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000921,Mahasiswa 921,P,2020,Lulus,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001690,Mahasiswa 7996,L,2023,Cuti,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000382,Mahasiswa 6688,L,2023,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000250,Mahasiswa 8658,L,2024,Lulus,P16,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000704,Mahasiswa 7010,L,2023,Lulus,P13,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000468,Mahasiswa 6774,L,2023,Lulus,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001907,Mahasiswa 4009,L,2021,Cuti,P13,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001001,Mahasiswa 9409,L,2024,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001252,Mahasiswa 3354,L,2021,Aktif,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000615,Mahasiswa 615,P,2020,Aktif,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000049,Mahasiswa 49,P,2020,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001862,Mahasiswa 8168,P,2023,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001763,Mahasiswa 1763,L,2020,Aktif,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001942,Mahasiswa 8248,L,2023,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000637,Mahasiswa 6943,P,2023,Cuti,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000611,Mahasiswa 611,P,2020,Aktif,P20,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000245,Mahasiswa 2347,L,2021,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,21002015,Mahasiswa 4117,P,2021,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000173,Mahasiswa 2275,P,2021,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001053,Mahasiswa 7359,L,2023,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000201,Mahasiswa 6507,L,2023,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000898,Mahasiswa 5102,L,2022,Aktif,P20,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000209,Mahasiswa 209,P,2020,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001766,Mahasiswa 8072,P,2023,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000128,Mahasiswa 4332,P,2022,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,21002023,Mahasiswa 4125,L,2021,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001370,Mahasiswa 9778,P,2024,Aktif,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000732,Mahasiswa 732,L,2020,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001876,Mahasiswa 3978,L,2021,Lulus,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000033,Mahasiswa 6339,P,2023,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001270,Mahasiswa 5474,P,2022,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000397,Mahasiswa 4601,L,2022,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000254,Mahasiswa 8662,L,2024,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001152,Mahasiswa 5356,L,2022,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001013,Mahasiswa 5217,L,2022,Cuti,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000119,Mahasiswa 8527,P,2024,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000237,Mahasiswa 8645,L,2024,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001105,Mahasiswa 5309,P,2022,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000496,Mahasiswa 4700,L,2022,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000078,Mahasiswa 2180,L,2021,Cuti,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000928,Mahasiswa 928,P,2020,Aktif,P11,2025-12-06 21:36:41.563,
